datetime,temp,dew,humidity,sealevelpressure,winddir,solarradiation,windspeed,preciptype
2020-09-11,28.9,25.9,84.4,1002.7,141.5,110.2,16.6,1
2020-09-12,28.2,25.4,85.2,1004.1,147.0,197.4,27.0,1
2020-09-13,28.3,25.3,84.4,1006.6,196.9,213.1,22.3,1
2020-09-14,27.6,25.1,86.8,1006.3,165.5,156.1,19.6,1
2020-09-15,27.7,25.2,86.5,1006.2,153.1,131.6,16.9,1
2020-09-16,27.7,25.7,88.9,1006.4,143.0,130.6,15.9,1
2020-09-17,27.3,25.5,90.2,1006.9,163.2,143.2,16.6,1
2020-09-18,27.0,25.3,90.4,1005.9,132.1,99.7,9.4,1
2020-09-19,27.4,26.1,92.7,1003.6,151.6,178.7,10.0,1
2020-09-20,28.9,25.4,82.0,1001.8,171.3,80.5,17.2,1
2020-09-21,28.1,26.3,90.4,1000.7,115.1,147.4,17.3,1
2020-09-22,26.7,25.8,95.0,1001.1,170.2,77.1,18.4,1
2020-09-23,26.0,25.7,98.2,1002.9,236.5,148.7,21.7,1
2020-09-24,27.4,25.8,91.6,1006.9,114.2,170.1,16.1,1
2020-09-25,28.0,25.6,86.9,1007.7,200.0,177.4,16.6,1
2020-09-26,29.0,24.2,75.7,1007.5,267.9,172.1,19.8,1
2020-09-27,28.7,24.5,79.0,1008.6,180.2,272.3,16.1,1
2020-09-28,28.5,24.6,79.9,1008.9,165.0,279.9,16.4,1
2020-09-29,28.8,24.6,78.5,1008.3,166.3,278.6,21.1,1
2020-09-30,28.9,24.5,77.9,1007.6,213.6,278.6,22.3,0
2020-10-01,29.0,24.3,76.2,1008.2,185.9,245.9,19.6,1
2020-10-02,29.2,25.4,80.5,1008.0,175.9,243.6,20.6,1
2020-10-03,28.8,26.0,85.0,1008.0,130.5,207.1,20.5,1
2020-10-04,27.2,24.8,87.2,1009.7,214.5,190.3,22.3,1
2020-10-05,28.5,25.5,83.8,1008.8,221.8,251.9,18.4,1
2020-10-06,29.0,25.6,82.3,1008.3,172.1,173.9,21.8,0
2020-10-07,30.0,25.6,77.6,1008.7,183.9,227.6,17.1,1
2020-10-08,29.9,26.4,81.6,1007.9,189.9,228.0,14.8,1
2020-10-09,31.1,24.9,70.9,1007.0,123.6,239.3,18.4,1
2020-10-10,30.0,26.2,80.9,1006.6,123.2,161.1,15.5,1
2020-10-11,29.0,26.0,84.2,1005.4,153.8,127.3,12.5,1
2020-10-12,29.3,26.3,84.3,1003.4,136.2,188.0,14.8,1
2020-10-13,29.5,27.0,87.1,1002.9,125.4,167.5,15.5,1
2020-10-14,28.5,26.3,88.2,1003.0,150.3,91.4,13.0,1
2020-10-15,27.4,26.2,93.7,1001.1,234.1,61.9,14.8,1
2020-10-16,29.1,24.8,78.5,1001.6,103.8,122.3,14.9,1
2020-10-17,29.1,23.7,72.7,1005.2,156.4,207.0,17.0,1
2020-10-18,28.7,24.5,78.7,1007.4,184.3,250.2,18.4,0
2020-10-19,28.9,25.8,83.5,1007.8,153.0,143.6,18.4,1
2020-10-20,29.6,26.8,85.7,1007.1,196.3,117.7,18.4,1
2020-10-21,29.6,26.4,83.7,1007.4,142.0,104.7,17.8,1
2020-10-22,28.9,26.2,85.7,1006.4,152.8,69.7,18.4,1
2020-10-23,29.1,25.3,80.2,1006.5,170.1,114.3,16.7,1
2020-10-24,29.5,26.7,85.5,1008.2,153.9,173.8,19.9,1
2020-10-25,29.6,26.1,81.9,1010.0,168.4,199.1,16.1,1
2020-10-26,29.6,23.9,72.7,1011.0,119.8,210.4,16.6,0
2020-10-27,29.9,20.3,58.2,1010.1,158.8,229.9,14.9,0
2020-10-28,29.6,22.3,65.6,1010.5,176.0,238.3,15.5,0
2020-10-29,29.3,23.0,69.7,1010.9,172.7,240.4,16.6,0
2020-10-30,29.6,22.0,65.6,1010.7,131.3,240.8,22.3,0
2020-10-31,29.1,19.4,58.2,1011.0,154.1,247.3,16.0,0
